,iht5,kziht5,iht10,kziht10,iht20,kziht20,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200
46,1.4331517370337203e-13,2.0847472956481229e-13,1.3210209728006934e-08,1.1464911415719245e-12,11484.501338908716,9.637707229415374e-12,3045710395890.4307,1.293713514605319e-09,2.0683914881278292e+18,1.833142738174485e-07,4.93410443107526e+21,5.044177696583716e-06,7.96086891987841e+23,8.552993126905188e-05
47,8.367958942210803e-14,1.1632118646891198e-13,9.73277526575891e-09,6.484107710621288e-13,16017.32243047538,5.803884485737296e-12,6003938196958.715,8.50912754459222e-10,5.398650349595956e+18,1.3370621904583988e-07,1.519556876613179e+22,3.883545072146254e-06,2.7448179305812124e+24,6.892208209383164e-05
48,4.892660686088964e-14,6.586233397151165e-14,7.1735581033931635e-09,3.6760976278674965e-13,22352.66076775506,3.5483948349347586e-12,11844580449579.64,5.614951449978945e-10,1.4097019641659572e+19,9.698239743568201e-08,4.6811132881284165e+22,2.9878116767035206e-06,9.468534572358801e+24,5.547971652687898e-05
49,2.864980838732068e-14,3.7096149869572584e-14,5.289109229814195e-09,2.0872532320511032e-13,31211.971400274728,2.117662886963245e-12,23384845276878.67,3.685817720917544e-10,3.6825742027255103e+19,7.056701278407019e-08,1.442478090775774e+23,2.2940105939613885e-06,3.2678079965410803e+25,4.464192677072214e-05
50,1.6793832298390656e-14,2.120221879537779e-14,3.900875496851477e-09,1.1931536463644918e-13,43607.45028643287,1.2768052939786577e-12,46203626630729.97,2.4287033906487007e-10,9.623964747776926e+19,5.145846615111798e-08,4.4462506647356954e+23,1.7623203288197768e-06,1.1283215366251074e+26,3.585228667796594e-05
51,9.863021268235994e-15,1.2670847871546462e-14,2.8777774803705896e-09,6.813328848176496e-14,60959.30185851722,7.703945469788893e-13,91356549201004.98,1.6220228672308736e-10,2.5161223251750247e+20,3.757216746153592e-08,1.3708641522418755e+24,1.3581457719096031e-06,3.897700680945845e+26,2.9033308306956477e-05
52,5.797029751195808e-15,8.197543127758062e-15,2.1235076238007845e-09,3.894503982840191e-14,85261.56343307738,4.678402942952263e-13,180767600406395.3,1.064028817697985e-10,6.580846349915639e+20,2.7290037368530413e-08,4.227744047164733e+24,1.0497292236327712e-06,1.347042776973341e+27,2.347082726024044e-05
53,3.4151117533711017e-15,5.907700463713972e-15,1.5672548292149228e-09,2.2689586406229156e-14,119314.60600537308,2.8119867593657524e-13,357943054412577.6,7.017063272970529e-11,1.7218730918309897e+21,1.9873311245966945e-08,1.3041788499511965e+25,8.097924738285351e-07,4.657471228658938e+27,1.9035449219138934e-05
54,2.010291021350141e-15,4.691164219415383e-15,1.1569212506651177e-09,1.3507894328800685e-14,167053.28373076837,1.6851985517008243e-13,709275263665978.1,4.619961794544887e-11,4.5069948433510296e+21,1.4514447202474017e-08,4.024239533712535e+25,6.270885493766933e-07,1.6110666257915914e+28,1.537267624081773e-05
55,1.1882355412015813e-15,4.040555282490962e-15,8.54155479141098e-10,8.4992854168728e-15,234008.14317199573,1.0202368778121845e-13,1406430389599389.8,3.042837569709271e-11,1.180148571742562e+22,1.059834402732322e-08,1.2420635159182453e+26,4.837055360157566e-07,5.5753220042590425e+28,1.2431982970112084e-05
56,7.000961965277428e-16,3.6585707042703404e-15,6.307114887516212e-10,5.6504062434840414e-15,327955.9969403768,6.144156716528317e-14,2790738839333204.5,2.0149232525042695e-11,3.091343051185882e+22,7.705984098384602e-09,3.834491447568569e+26,3.752056963894492e-07,1.930270205062789e+29,1.0070518816739202e-05
57,4.164621350111525e-16,3.4157310501877025e-15,4.657769478376121e-10,4.183963875839868e-15,459835.6998130424,3.7133918958195253e-14,5541312014052734.0,1.3278247839846755e-11,8.100574608735373e+22,5.632593978977801e-09,1.1840788019797046e+27,2.901354060876252e-07,6.685847643564994e+29,8.165071268624968e-06
