,kziht8,kziht_rr8,kziht9,kziht_rr9,kziht10,kziht_rr10
295,7.835466341773255e-05,1.9486174618278455e-06,0.09975837016994851,0.06963353733720531,0.4588905205457479,0.4588902094165789
296,7.653148975901385e-05,1.8822811501148202e-06,0.099551604948377,0.0694581970184204,0.45889051055270824,0.4588902093922565
297,7.473197531484474e-05,1.8192556204752613e-06,0.09933526606646301,0.06928407374644727,0.45889050110938134,0.45889020936801234
298,7.29774134806531e-05,1.7575964125334887e-06,0.09912964272205695,0.0691099694940013,0.4588904918134052,0.45889020934586844
299,7.129687106658994e-05,1.6983315065258658e-06,0.09892734916048238,0.06893550472740513,0.45889048312022984,0.45889020932451946
300,6.96934571406023e-05,1.6412700645377417e-06,0.09872906885179486,0.06876240552989273,0.45889047488842155,0.4588902093040619
301,6.811538247908018e-05,1.5863970992901273e-06,0.0985229165568061,0.06859120909610411,0.45889046679566,0.45889020928503416
302,6.653536562133998e-05,1.5332682062206987e-06,0.09832840083148024,0.06841847099627724,0.45889045871898493,0.45889020926690194
303,6.500395615377161e-05,1.4819402928728196e-06,0.09812959543659018,0.06824939217724012,0.4588904508592865,0.4588902092496082
304,6.353027177641651e-05,1.4323874477920748e-06,0.0979373060692219,0.06808119682557391,0.45889044334610024,0.45889020923280316
305,6.208039983569744e-05,1.3840920706693744e-06,0.09773105721248118,0.06790982897718274,0.4588904360467061,0.4588902092173298
306,6.0664545604307204e-05,1.337512769305424e-06,0.09753180391092812,0.06774241592907612,0.45889042877147485,0.458890209202366
307,5.924232765279925e-05,1.2925325407672706e-06,0.0973250402429852,0.06757442831862254,0.45889042218438575,0.45889020918824225
308,5.7851098413884734e-05,1.2494155999934616e-06,0.09712105119247834,0.06740864848865968,0.4588904153791017,0.4588902091748281
309,5.651260532760449e-05,1.2074062513260217e-06,0.09692585738662077,0.06724165123974653,0.45889040894690175,0.45889020916220724
310,5.519752155118521e-05,1.1666692633132182e-06,0.09673309336870355,0.06707728294995978,0.45889040252315094,0.4588902091500402
311,5.393864409288051e-05,1.1272497770701024e-06,0.09653857816804803,0.06691297761958194,0.45889039653312186,0.45889020913858475
