,kziht4,kziht_rr4,kziht5,kziht_rr5,kziht6,kziht_rr6,kziht7,kziht_rr7
117,4.916701530741218e-13,1.8959046886090582e-15,2.7872749400029555e-10,7.146086090234889e-15,1.7792368071747026e-07,1.5026580896356832e-10,5.471588485149006e-05,9.178650778812717e-07
118,3.949777081661811e-13,1.94923159000125e-15,2.3606072590396663e-10,5.890202615289667e-15,1.5924620042966589e-07,1.273989208739468e-10,5.1340712887241073e-05,8.348542821845492e-07
119,3.17466663743478e-13,1.8921107246898362e-15,2.0010654278679892e-10,4.935577644980057e-15,1.4265844993833232e-07,1.0803477978570716e-10,4.815380733745384e-05,7.588395018180304e-07
120,2.5590337992688496e-13,1.9214887701440766e-15,1.7029736771429903e-10,4.124749600352581e-15,1.2778646862752492e-07,9.167485796363588e-11,4.5141197819371724e-05,6.899255106474769e-07
121,2.0469997052630696e-13,1.9384940497273765e-15,1.444822671875678e-10,3.564344879229516e-15,1.1440025865450192e-07,7.767726457058846e-11,4.2357376501101354e-05,6.276001029697075e-07
122,1.6524383240717761e-13,1.94971036848846e-15,1.2223857398901463e-10,3.2727430288105617e-15,1.0254487039786334e-07,6.586217008902843e-11,3.9703399478042696e-05,5.706972818318529e-07
123,1.3248535324238868e-13,1.8801825769285614e-15,1.037908084101893e-10,2.9483003053555666e-15,9.169621201041382e-08,5.594445617694823e-11,3.727811387592732e-05,5.190496252182326e-07
124,1.0612945576686561e-13,1.9664263692238655e-15,8.784723590517813e-11,2.7696936117612215e-15,8.209109765458882e-08,4.747062646071346e-11,3.4966890808137735e-05,4.7184409106527144e-07
125,8.519685464496805e-14,1.9148038344535868e-15,7.449938121241181e-11,2.5983340849031754e-15,7.346024303559739e-08,4.0280230398044014e-11,3.279249252301829e-05,4.2928452889518376e-07
126,6.833603405231066e-14,1.895350126779123e-15,6.330581317629992e-11,2.563309317358941e-15,6.587935435809823e-08,3.4145927024536524e-11,3.0737624494082634e-05,3.9066810463259205e-07
127,5.4885514271064396e-14,1.8799854856883825e-15,5.3818665548454705e-11,2.4933831162702725e-15,5.893033887330111e-08,2.8965835665619884e-11,2.8849406455882983e-05,3.5557638573154586e-07
128,4.418470972225845e-14,1.8948213500084125e-15,4.579878625170394e-11,2.3712494526087395e-15,5.293837614540165e-08,2.460062912783586e-11,2.7075366800237964e-05,3.2341037469761516e-07
129,3.5505841678041835e-14,1.8845900456874052e-15,3.886744606734864e-11,2.3001132243660572e-15,4.747573793401955e-08,2.088973596133354e-11,2.5402985011022927e-05,2.943288003859162e-07
130,2.8584161372499544e-14,1.873538083904845e-15,3.3087373878824065e-11,2.3202452885057916e-15,4.251950229337692e-08,1.7747870814526463e-11,2.383524510147693e-05,2.677372467621081e-07
131,2.3065746224366142e-14,1.8508602949685673e-15,2.8062946415175277e-11,2.248323293560526e-15,3.8030660686878375e-08,1.506364752684536e-11,2.2385206985717482e-05,2.4353170459865546e-07
132,1.8604124999594055e-14,1.8760199129496023e-15,2.384912314191193e-11,2.2157350933642635e-15,3.39349376328824e-08,1.2804435054806777e-11,2.1015532795919066e-05,2.2152563043228e-07
133,1.512700471518485e-14,1.8759609253083606e-15,2.0238137240828385e-11,2.2618609828452188e-15,3.033200978088646e-08,1.0855679971068364e-11,1.9720924554602644e-05,2.0152528971591973e-07
134,1.2332007857388264e-14,1.902349158087899e-15,1.717219499734232e-11,2.298717914141918e-15,2.7214146833464513e-08,9.237915356975146e-12,1.8515122430218837e-05,1.8341562434697613e-07
135,1.0014061985121046e-14,1.9383517390560424e-15,1.4532654013005288e-11,2.263612087941904e-15,2.4374454136295826e-08,7.85262053799611e-12,1.7380594730148253e-05,1.6693405253214123e-07
136,8.273523023825252e-15,1.8802240595399108e-15,1.2337826204517681e-11,2.2710491220003066e-15,2.1823985634782954e-08,6.669295647204599e-12,1.631630614510402e-05,1.5197909527001276e-07
