,iht1,kziht1,iht2,kziht2,iht3,kziht3,iht4,kziht4,iht5,kziht5
179,4.039392707800273e-16,1.452027708381768e-15,2.24031050141893e-15,1.8546546764305446e-15,6.794329431158296e-15,1.993806667481909e-15,1.2174119830933085e+23,2.343159368735796e-15,1.2242466886378677e+38,1.5170039346654265e-14
180,4.3470581503796293e-16,1.4238057660463985e-15,2.109908317304048e-15,1.9278521962626243e-15,6.009116040466563e-15,1.974825424703509e-15,1.6836423902625627e+23,2.3022165914788365e-15,2.055023922051229e+38,1.3069177368678736e-14
181,3.8245097995427107e-16,1.4439918883410254e-15,2.4322545990913995e-15,1.819356109302335e-15,6.0077988866901815e-15,1.9793452902187454e-15,2.3284663224044942e+23,2.351768199752405e-15,3.449883344422082e+38,1.1315254290860166e-14
182,3.7923473597009685e-16,1.4869816168458555e-15,2.2465568046394556e-15,1.7788676874613293e-15,6.149024342056539e-15,2.0030678946467075e-15,3.220310830951841e+23,2.317808602410753e-15,5.792021876739168e+38,9.808345407262272e-15
183,4.0400328016995605e-16,1.4310404803776656e-15,2.288348071554047e-15,1.6919956207995035e-15,6.026985071956949e-15,2.0147947661210073e-15,4.4538259734997155e+23,2.2674823989018708e-15,9.725075217560517e+38,8.507970146518646e-15
184,3.6199847602409863e-16,1.410563670424641e-15,2.413023675770499e-15,1.75748966793998e-15,5.701739998133741e-15,2.0331723268527355e-15,6.159936194499306e+23,2.289384572491947e-15,1.6330201067272095e+39,7.477130092865921e-15
185,4.375143525663676e-16,1.4720373524424225e-15,2.3214418329364962e-15,1.7809501816149602e-15,6.009480096258037e-15,2.035644607433332e-15,8.519745193823263e+23,2.2760361318744673e-15,2.742361702584576e+39,6.556098005107283e-15
186,3.9397801867929e-16,1.4276384236348882e-15,2.2192852610271662e-15,1.815855185287945e-15,5.889364172564806e-15,2.0191675751038225e-15,1.1783771909170961e+24,2.3246194642849485e-15,4.6056558587390233e+39,5.837644393055391e-15
187,3.851733352743591e-16,1.417527224203317e-15,2.1119287168807977e-15,1.8711393009658927e-15,5.791257980159861e-15,2.0189741207666744e-15,1.629856193663935e+24,2.4252719801516353e-15,7.735541723981153e+39,5.261338280565445e-15
188,3.981080500869171e-16,1.4574975155536048e-15,2.2959929895693576e-15,1.8587951992600653e-15,5.674060701383323e-15,1.883346877579703e-15,2.25435027986959e+24,2.4500671441361686e-15,1.2993360413997187e+40,4.7851095762976796e-15
189,4.230493655641406e-16,1.4650147268515002e-15,2.2515431285501333e-15,1.916527806281127e-15,5.413711354535657e-15,1.967257910901369e-15,3.118175632038646e+24,2.388612139871345e-15,2.1826434052460676e+40,4.343686445417347e-15
190,4.068351644455701e-16,1.5036755615258667e-15,2.3878921364359945e-15,1.8414209705855557e-15,5.60419983628339e-15,1.93687051651653e-15,4.313072242203718e+24,2.315101263693279e-15,3.66668606552157e+40,3.978511252672729e-15
191,3.6583760908474546e-16,1.5249023503470368e-15,2.3020886805743157e-15,1.8413183717631164e-15,5.539776944765152e-15,1.9254285838194835e-15,5.965952553011932e+24,2.3148054424474787e-15,6.160180452145069e+40,3.7134989635499596e-15
192,4.2769126577102256e-16,1.555822930809698e-15,2.2410842722173284e-15,1.943699933818665e-15,6.148167019277923e-15,1.9922601909852744e-15,8.252388853984062e+24,2.2789178498433227e-15,1.035001714681744e+41,3.401546531737141e-15
193,3.6655400002543813e-16,1.5704912852712159e-15,2.0586422869183624e-15,1.9851512761410487e-15,5.594913185415498e-15,1.9607174374907412e-15,1.1415273556646323e+25,2.214505837612504e-15,1.7390650640838874e+41,3.2643860533295015e-15
194,4.211525969266931e-16,1.5742404678717823e-15,2.3222127378323946e-15,1.8862280989637025e-15,5.666536460089622e-15,2.0310529425415024e-15,1.5790636674149956e+25,2.1838878935036496e-15,2.9222471728607786e+41,3.1327965871119484e-15
