,iht5,kziht5,iht10,kziht10,iht20,kziht20,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200,iht250,kziht250
145,0.0,3.279065276743279e-15,1.526540924975878e-19,2.8413786432912017e-15,2.961626290377048e-19,2.3436020164736806e-15,3.784102667206177e-18,1.8447096600460865e-15,1.4045364518588064e+36,1.770204563271839e-15,3.822124285786853e+48,3.796247717989244e-14,3.7066406235887936e+56,2.1754410401394768e-11,5.1290800863278576e+60,6.663809683158164e-09
146,0.0,3.2737959252053934e-15,1.526540924975878e-19,2.8430169900816277e-15,2.961626290377048e-19,2.3418700629838146e-15,3.756767515743966e-18,1.843980067516585e-15,2.579648687006453e+36,1.7637005981883402e-15,8.651400840494393e+48,3.084474874619087e-14,9.476006681900933e+56,1.8383081225511575e-11,1.3959517154832273e+61,5.83006049145752e-09
147,0.0,3.273612810441083e-15,1.526540924975878e-19,2.8349424920072564e-15,2.961626290377048e-19,2.3373291126440734e-15,3.497637637630247e-18,1.843749509669478e-15,4.7384428679575954e+36,1.7561575699058082e-15,1.95839745331583e+49,2.519197368254348e-14,2.4226252607198367e+57,1.557900952897782e-11,3.799755240953722e+61,5.107958130948009e-09
148,0.0,3.2738772736109465e-15,1.526540924975878e-19,2.8335369250288246e-15,2.961626290377048e-19,2.3343079514427665e-15,3.692651568294404e-18,1.844601611944649e-15,8.704774093503352e+36,1.7539383963034664e-15,4.433500935604677e+49,2.0626565132221932e-14,6.193876167976438e+57,1.323228726079737e-11,1.0344126989303961e+62,4.48099180848525e-09
149,0.0,3.2728381361035175e-15,1.526540924975878e-19,2.829749657322379e-15,2.961626290377048e-19,2.330693803326488e-15,3.634722559382469e-18,1.839351581884295e-15,1.5992832255059513e+37,1.7475131290954346e-15,1.0037445091326162e+50,1.693178902227223e-14,1.5836295711177685e+58,1.1210679334563083e-11,2.816331505414733e+62,3.928695674464768e-09
150,0.0,3.2711427466000928e-15,1.526540924975878e-19,2.8291494014221245e-15,2.961626290377048e-19,2.327546766535106e-15,3.447129914422806e-18,1.83688241832312e-15,2.9385869043792304e+37,1.7466349645819799e-15,2.27263063473996e+50,1.3923084739125308e-14,4.0491039962931953e+58,9.503947802901154e-12,7.66874250452668e+62,3.4431296887318167e-09
151,0.0,3.2669233916480882e-15,1.526540924975878e-19,2.829883143057532e-15,2.961626290377048e-19,2.324671138651457e-15,3.56810387708222e-18,1.838128601594417e-15,5.400030879188739e+37,1.7351662608424011e-15,5.145916754166251e+50,1.1495018207187753e-14,1.0353280099534618e+59,8.062011140145093e-12,2.088400366732549e+63,3.0185313004518184e-09
152,0.0,3.2671406570975673e-15,1.526540924975878e-19,2.823158420900839e-15,2.961626290377048e-19,2.324885303263665e-15,3.535000670437188e-18,1.834810735810164e-15,9.92425176221127e+37,1.7325830741332187e-15,1.1652627207711545e+51,9.535382823681815e-15,2.647342803370475e+59,6.813040964081065e-12,5.6878926094926994e+63,2.6384642806924842e-09
153,0.0,3.2660571071057358e-15,1.526540924975878e-19,2.8184845924123106e-15,2.961626290377048e-19,2.3232589817343943e-15,3.2201619870847686e-18,1.8302054876348458e-15,1.8240738435695847e+38,1.7262839283518919e-15,2.6388284423148135e+51,7.960789201423663e-15,6.769476538771384e+59,5.766385489868386e-12,1.549301223434378e+64,2.3161867854080284e-09
154,0.0,3.2623331326434103e-15,1.526540924975878e-19,2.8154593448348053e-15,2.961626290377048e-19,2.3207069729294345e-15,3.6795684336839196e-18,1.828518248900251e-15,3.3529684624994534e+38,1.7249188400338493e-15,5.976180643805693e+51,6.7093990019423246e-15,1.7310603290409416e+60,4.898714899318359e-12,4.220520766562389e+64,2.029077975266185e-09
